Statistics,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Gen.,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,평균,표준편차
,0.8968,0.8886,0.891,0.8564,0.8782,0.8992,0.9082,0.8888,0.8868,0.8972,0.8952,0.901,0.8346,0.9006,0.9092,0.8846,0.9046,0.9258,0.9026,0.8976,0.8956,0.901,0.8702,0.912,0.868,0.9094,0.8998,0.9016,0.8962,0.865,0.8872,0.842,0.9086,,0.9122,0.8984,0.8946,0.9124,0.885,0.8936,0.9062,0.8988,,0.9084,0.891,0.8862,0.884,0.8906,0.892717391,0.017758207
,0.8968,0.8886,0.891,0.8564,0.8782,0.8992,0.9082,0.8888,0.8868,0.8972,0.8952,0.901,0.8784,0.9006,0.9092,0.8846,0.9046,0.9258,0.9026,0.8976,0.8956,0.901,0.8702,0.912,0.868,0.9094,0.8998,0.9016,0.8962,0.865,0.8876,0.842,0.9086,,0.9122,0.8984,0.8946,0.9124,0.8972,0.8936,0.9062,0.8988,,0.9084,0.8982,0.8862,0.884,0.8906,0.8941,0.015573296
,0.9006,0.8886,0.9034,0.8564,0.8782,0.8992,0.9082,0.8888,0.8868,0.8972,0.8952,0.901,0.8918,0.9006,0.9092,0.8846,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8702,0.912,0.868,0.9094,0.8998,0.9016,0.8982,0.865,0.8876,0.8552,0.9086,,0.9122,0.8984,0.8946,0.9124,0.8972,0.8936,0.9062,0.8988,,0.9084,0.8982,0.8862,0.884,0.8908,0.895265217,0.014629897
,0.9006,0.8988,0.904,0.8564,0.8782,0.8992,0.913,0.8888,0.8868,0.8972,0.8952,0.901,0.8918,0.9006,0.9092,0.8846,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8702,0.912,0.878,0.9094,0.8998,0.9016,0.8982,0.865,0.8912,0.8666,0.9086,,0.9122,0.8984,0.8946,0.9184,0.8972,0.8936,0.9062,0.8988,,0.9084,0.8982,0.8862,0.884,0.8908,0.896278261,0.013888667
,0.9006,0.8988,0.904,0.8834,0.8782,0.8992,0.913,0.8888,0.8868,0.8986,0.8952,0.901,0.8918,0.9006,0.9092,0.8846,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8704,0.912,0.889,0.9094,0.8998,0.9016,0.9026,0.865,0.8912,0.8666,0.9086,,0.9122,0.8984,0.8946,0.9184,0.8972,0.8936,0.9062,0.905,,0.9084,0.8982,0.8894,0.884,0.8936,0.8975,0.012408868
,0.9006,0.8988,0.904,0.8834,0.8782,0.8992,0.913,0.8888,0.8868,0.8986,0.8952,0.901,0.8918,0.9006,0.9092,0.8846,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8704,0.912,0.889,0.9094,0.8998,0.9016,0.9026,0.865,0.8912,0.8666,0.9086,,0.9122,0.8984,0.8946,0.9184,0.8972,0.8936,0.9062,0.905,,0.9084,0.8982,0.8894,0.884,0.8936,0.8975,0.012408868
,0.9006,0.8988,0.904,0.8834,0.888,0.8992,0.913,0.8888,0.8868,0.8986,0.8952,0.901,0.8918,0.9006,0.9092,0.8846,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8704,0.912,0.889,0.9094,0.8998,0.9112,0.9026,0.865,0.8912,0.8666,0.9086,,0.9122,0.8984,0.8946,0.9184,0.8972,0.8936,0.9062,0.905,,0.9084,0.8982,0.8894,0.884,0.8936,0.897921739,0.012301362
,0.9006,0.8988,0.904,0.8834,0.888,0.8992,0.913,0.8888,0.8868,0.8986,0.8952,0.901,0.8918,0.9006,0.9122,0.8886,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8704,0.912,0.889,0.9094,0.8998,0.9112,0.9026,0.865,0.8912,0.8666,0.9086,,0.9122,0.8984,0.8946,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8982,0.8894,0.884,0.8972,0.898217391,0.012272957
,0.9006,0.8988,0.904,0.8834,0.888,0.8992,0.913,0.8888,0.8868,0.9018,0.8986,0.901,0.8918,0.9018,0.9122,0.8886,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8704,0.912,0.889,0.9094,0.905,0.9112,0.9026,0.865,0.8912,0.8666,0.9086,,0.9122,0.8984,0.8946,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8982,0.895,0.8882,0.8972,0.898713043,0.012158264
,0.9006,0.8988,0.904,0.8834,0.888,0.8992,0.913,0.8888,0.8868,0.9074,0.8986,0.901,0.8918,0.9024,0.9122,0.8886,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8704,0.912,0.889,0.9094,0.9076,0.9112,0.9026,0.865,0.8912,0.8666,0.9086,,0.9122,0.8984,0.8946,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8982,0.8976,0.8914,0.8972,0.899030435,0.012190413
,0.9006,0.9052,0.904,0.8834,0.9084,0.8992,0.913,0.8888,0.8868,0.9102,0.8986,0.901,0.8918,0.9024,0.9122,0.8886,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8704,0.912,0.889,0.9094,0.9076,0.9112,0.9026,0.865,0.8912,0.8774,0.9086,,0.9122,0.8984,0.8946,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8982,0.8976,0.8914,0.8972,0.899908696,0.011668358
,0.9006,0.9086,0.904,0.8834,0.9084,0.8992,0.913,0.8888,0.8868,0.9102,0.8986,0.901,0.8918,0.9024,0.9122,0.8886,0.9046,0.9258,0.9026,0.8976,0.9042,0.901,0.8704,0.912,0.889,0.9094,0.9076,0.9112,0.9026,0.865,0.8926,0.8904,0.9086,,0.9122,0.8984,0.9096,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8982,0.8976,0.8944,0.8972,0.900686957,0.011285676
,0.9052,0.9086,0.904,0.8834,0.9084,0.8992,0.913,0.8888,0.8868,0.9102,0.8986,0.9028,0.8918,0.9024,0.9122,0.8886,0.9046,0.9258,0.9026,0.8976,0.9102,0.901,0.8704,0.912,0.889,0.9094,0.9076,0.9112,0.9062,0.865,0.8926,0.8904,0.9086,,0.9122,0.8984,0.9096,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8982,0.8976,0.8944,0.8972,0.901034783,0.011407156
,0.9052,0.9086,0.904,0.8834,0.9098,0.8992,0.913,0.8888,0.8868,0.9102,0.8986,0.9028,0.8918,0.9024,0.9122,0.8898,0.9046,0.9258,0.9026,0.8976,0.9102,0.901,0.8704,0.912,0.889,0.9142,0.9076,0.9112,0.9062,0.865,0.8926,0.8904,0.9086,,0.9122,0.8984,0.9096,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8982,0.8976,0.8944,0.8972,0.901195652,0.011500608
,0.9052,0.9086,0.904,0.8834,0.91,0.8992,0.913,0.8888,0.8868,0.9108,0.8986,0.9028,0.8918,0.911,0.9122,0.8898,0.9046,0.9258,0.9026,0.8976,0.9102,0.901,0.8704,0.912,0.889,0.9142,0.9076,0.9112,0.9062,0.865,0.8926,0.8904,0.9086,,0.9122,0.8984,0.911,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8986,0.8976,0.8944,0.8972,0.90143913,0.011625384
,0.9052,0.9086,0.904,0.8834,0.9224,0.8992,0.913,0.8888,0.8868,0.9108,0.8986,0.9062,0.8918,0.911,0.9122,0.8898,0.9046,0.9258,0.9026,0.8976,0.9102,0.901,0.8764,0.912,0.889,0.9142,0.9076,0.9112,0.9062,0.885,0.8926,0.8904,0.9086,,0.9122,0.8984,0.911,0.9184,0.9002,0.8936,0.9062,0.905,,0.9084,0.8986,0.8976,0.8944,0.8972,0.902347826,0.010579429
,0.9052,0.913,0.904,0.8834,0.9224,0.8992,0.913,0.8888,0.9036,0.9108,0.8986,0.9062,0.8918,0.911,0.9122,0.8898,0.9046,0.9258,0.9026,0.8976,0.9102,0.901,0.8764,0.912,0.889,0.9142,0.9076,0.9112,0.9062,0.885,0.895,0.8904,0.9086,,0.9122,0.8984,0.911,0.9184,0.9002,0.8936,0.9062,0.905,,0.9138,0.8986,0.8976,0.8944,0.8972,0.902978261,0.01044139
,0.9052,0.9166,0.904,0.8834,0.9224,0.8992,0.913,0.8888,0.9036,0.9158,0.8986,0.9062,0.8918,0.911,0.9122,0.8898,0.9046,0.9258,0.9026,0.8976,0.9102,0.901,0.8766,0.912,0.889,0.9142,0.9076,0.9112,0.9062,0.8978,0.8992,0.8904,0.9094,,0.9122,0.8984,0.911,0.9184,0.9002,0.8936,0.9062,0.905,,0.9138,0.8986,0.8976,0.8944,0.8972,0.903556522,0.010254791
